# AGN bolometric luminosity data, taken from Shen et al. (2020):
# 2020ApJ.892.17D
# In this file we include all of the data from the paper, for all redshifts and
# observation bands. Units of the luminosity are erg/s. Units of the luminosity 
# function are Mpc^-3 dex^-1.
#
#Wavelength    Redshift    log_L_bol_err    log_L_bol_err    log_Phi    log_Phi_erra
hard_X_ray       0.20          43.51             0.00         -3.44        0.10
hard_X_ray       0.20          43.81             0.12         -3.79        0.14
hard_X_ray       0.20          43.97             0.06         -3.56        0.11
hard_X_ray       0.20          44.13             0.06         -3.83        0.11
hard_X_ray       0.20          44.29             0.06         -3.93        0.09
hard_X_ray       0.20          44.46             0.06         -4.06        0.09
hard_X_ray       0.20          44.62             0.06         -4.24        0.09
hard_X_ray       0.20          44.78             0.06         -4.48        0.08
hard_X_ray       0.20          44.95             0.06         -4.63        0.08
hard_X_ray       0.20          45.11             0.06         -4.85        0.08
hard_X_ray       0.20          45.28             0.06         -5.05        0.09
hard_X_ray       0.20          45.45             0.06         -5.57        0.12
hard_X_ray       0.20          45.61             0.06         -5.53        0.10
hard_X_ray       0.20          45.78             0.06         -5.89        0.11
hard_X_ray       0.20          45.95             0.06         -6.25        0.13
hard_X_ray       0.20          46.16             0.08         -6.85        0.16
hard_X_ray       0.20          46.38             0.08         -6.92        0.15
hard_X_ray       0.20          46.57             0.07         -7.18        0.14
hard_X_ray       0.20          46.94             0.14         -8.25        0.18
hard_X_ray       0.20          47.39             0.16         -8.75        0.39
hard_X_ray       0.20          39.16             0.00         -0.39        0.59
hard_X_ray       0.20          39.41             0.12         -0.59        0.43
hard_X_ray       0.20          39.66             0.12         -0.70        0.30
hard_X_ray       0.20          39.92             0.12         -0.79        0.23
hard_X_ray       0.20          40.18             0.12         -0.95        0.16
hard_X_ray       0.20          40.44             0.12         -1.00        0.13
hard_X_ray       0.20          40.71             0.12         -1.21        0.11
hard_X_ray       0.20          40.98             0.12         -1.47        0.12
hard_X_ray       0.20          41.25             0.12         -1.67        0.11
hard_X_ray       0.20          41.53             0.12         -1.93        0.11
hard_X_ray       0.20          41.81             0.12         -2.19        0.12
hard_X_ray       0.20          42.09             0.12         -2.50        0.15
hard_X_ray       0.20          42.38             0.12         -2.86        0.22
hard_X_ray       0.20          42.68             0.12         -3.11        0.27
hard_X_ray       0.20          42.98             0.12         -3.29        0.27
hard_X_ray       0.20          43.29             0.12         -3.54        0.27
hard_X_ray       0.20          43.60             0.12         -3.67        0.23
hard_X_ray       0.20          43.91             0.12         -3.75        0.17
hard_X_ray       0.20          44.24             0.12         -4.08        0.18
hard_X_ray       0.20          44.56             0.12         -4.13        0.12
hard_X_ray       0.20          44.89             0.12         -4.37        0.11
hard_X_ray       0.20          45.22             0.12         -4.80        0.10
hard_X_ray       0.20          45.55             0.12         -5.24        0.10
hard_X_ray       0.20          45.89             0.12         -5.78        0.10
hard_X_ray       0.20          46.23             0.12         -6.31        0.12
hard_X_ray       0.20          46.57             0.12         -7.06        0.16
hard_X_ray       0.20          46.91             0.12         -8.02        0.40
hard_X_ray       0.20          42.95             0.00         -3.11        0.51
hard_X_ray       0.20          43.82             0.35         -3.81        0.54
hard_X_ray       0.20          44.50             0.26         -4.11        0.56
hard_X_ray       0.20          44.95             0.17         -4.75        0.55
hard_X_ray       0.20          45.42             0.18         -5.30        0.54
hard_X_ray       0.20          45.89             0.18         -6.15        0.47
hard_X_ray       0.20          46.40             0.19         -7.41        0.38
hard_X_ray       0.20          47.15             0.27         -8.60        0.38
hard_X_ray       0.20          43.82             1.25         -3.54        0.57
hard_X_ray       0.20          44.50             0.26         -4.17        0.57
hard_X_ray       0.20          44.95             0.17         -4.56        0.63
hard_X_ray       0.20          45.42             0.18         -5.35        0.60
hard_X_ray       0.20          45.89             0.18         -6.01        0.59
hard_X_ray       0.20          46.40             0.19         -6.91        0.56
hard_X_ray       0.20          47.15             0.27         -8.83        0.38
hard_X_ray       0.20          48.11             0.35         -9.39        0.37
hard_X_ray       0.20          43.76             0.00         -3.39        0.21
hard_X_ray       0.20          45.05             0.50         -4.54        0.21
hard_X_ray       0.20          46.40             0.50         -6.52        0.21
hard_X_ray       0.20          47.77             0.50         -9.53        0.81
hard_X_ray       0.20          44.09             0.00         -3.81        0.38
hard_X_ray       0.20          44.42             0.12         -4.13        0.29
hard_X_ray       0.20          44.74             0.12         -4.40        0.22
hard_X_ray       0.20          45.07             0.12         -4.81        0.21
hard_X_ray       0.20          45.41             0.12         -5.39        0.26
hard_X_ray       0.20          45.74             0.12         -5.90        0.31
hard_X_ray       0.20          46.08             0.12         -6.23        0.32
hard_X_ray       0.20          39.92             0.00         -1.03        2.10
hard_X_ray       0.20          40.18             0.12         -1.11        1.00
hard_X_ray       0.20          40.44             0.12         -1.05        0.50
hard_X_ray       0.20          40.71             0.12         -1.41        0.43
hard_X_ray       0.20          40.98             0.12         -1.41        0.27
hard_X_ray       0.20          41.25             0.12         -1.58        0.26
hard_X_ray       0.20          41.53             0.12         -2.01        0.28
hard_X_ray       0.20          41.81             0.12         -2.26        0.25
hard_X_ray       0.20          42.09             0.12         -2.38        0.20
hard_X_ray       0.20          42.38             0.12         -2.50        0.19
hard_X_ray       0.20          42.68             0.12         -2.59        0.19
hard_X_ray       0.20          42.98             0.12         -3.06        0.26
hard_X_ray       0.20          43.29             0.12         -3.12        0.26
hard_X_ray       0.20          43.60             0.12         -3.59        0.34
hard_X_ray       0.20          43.91             0.12         -3.40        0.19
hard_X_ray       0.20          44.24             0.12         -3.60        0.16
hard_X_ray       0.20          44.56             0.12         -3.63        0.13
hard_X_ray       0.20          44.89             0.12         -4.23        0.16
hard_X_ray       0.20          45.22             0.12         -4.87        0.24
hard_X_ray       0.20          45.55             0.12         -5.00        0.29
hard_X_ray       0.20          45.89             0.12         -5.40        0.39
hard_X_ray       0.20          42.97             0.00         -2.85        0.30
hard_X_ray       0.20          43.91             0.38         -3.68        0.26
hard_X_ray       0.20          44.54             0.25         -3.96        0.16
hard_X_ray       0.20          44.90             0.14         -4.54        0.16
hard_X_ray       0.20          45.43             0.20         -5.29        0.16
hard_X_ray       0.20          45.90             0.18         -5.84        0.22
hard_X_ray       0.20          46.39             0.18         -6.53        0.22
hard_X_ray       0.20          47.14             0.27         -8.16        0.37
hard_X_ray       0.20          48.28             0.41         -9.45        0.76
hard_X_ray       0.20          42.31             0.00         -2.48        0.27
hard_X_ray       0.20          42.75             0.19         -2.63        0.25
hard_X_ray       0.20          43.21             0.19         -3.06        0.32
hard_X_ray       0.20          43.68             0.19         -3.91        0.62
hard_X_ray       0.20          44.16             0.19         -3.60        0.19
hard_X_ray       0.20          44.64             0.19         -3.87        0.13
hard_X_ray       0.20          45.14             0.19         -4.83        0.19
hard_X_ray       0.20          45.64             0.19         -5.38        0.22
hard_X_ray       0.20          46.14             0.19         -6.38        0.66
hard_X_ray       0.20          43.56             0.00         -3.68        0.26
hard_X_ray       0.20          44.20             0.25         -3.73        0.21
hard_X_ray       0.20          44.85             0.25         -4.27        0.21
hard_X_ray       0.20          45.52             0.25         -5.10        0.31
hard_X_ray       0.20          43.44             0.00         -3.91        0.22
hard_X_ray       0.20          44.07             0.25         -4.02        0.13
hard_X_ray       0.20          44.72             0.25         -4.54        0.10
hard_X_ray       0.20          45.39             0.25         -5.21        0.10
hard_X_ray       0.20          46.06             0.25         -6.23        0.12
hard_X_ray       0.20          46.74             0.25         -6.80        0.13
soft_X_ray       0.20          43.63             0.00         -3.23        0.16
soft_X_ray       0.20          44.10             0.19         -3.69        0.14
soft_X_ray       0.20          44.43             0.12         -4.09        0.12
soft_X_ray       0.20          44.75             0.12         -4.25        0.07
soft_X_ray       0.20          45.08             0.12         -4.80        0.08
soft_X_ray       0.20          45.42             0.12         -5.40        0.07
