#Galaxy log(MHI) el_MHI eu_MHI log(Mstar) el_Mstar eu_Mstar SFR*10^3 el_SFR eu_SFR
AGC110482 7.28 0.03 0.03 7.4 0.21 0.25 5.72 3.66 2.69
AGC111164 6.6 0.03 0.03 6.54 0.14 0.12 0.39 0.21 0.21
AGC111946 7.16 0.03 0.03 6.81 0.24 0.2 2.17 1.19 0.66
AGC111977 6.85 0.03 0.03 7.12 0.17 0.16 1.81 0.93 1.04
AGC112521 6.85 0.03 0.03 6.47 0.19 0.18 0.52 0.38 0.37
AGC174585 6.9 0.04 0.04 6.56 0.16 0.09 1.57 0.76 0.52
AGC174605 7.27 0.03 0.03 7.1 0.2 0.63 3.09 1.35 1.96
AGC182595 6.91 0.04 0.04 7.41 0.25 0.15 3.95 1.81 1.65
AGC731457 7.26 0.03 0.03 7.82 0.33 0.03 13.08 6.23 0.48
AGC748778 6.66 0.04 0.04 6.13 0.21 0.11 0.62 0.39 0.24
AGC749237 7.76 0.02 0.02 7.4 0.31 0.39 8.29 2.99 3.99
AGC749241 6.75 0.03 0.03 6.26 0.13 0.15 0.5 0.27 0.24
AGC102728 7.05 0.06 0.06 6.58 0.32 0.15 1.07 0.44 0.37
AGC123352 7.18 0.03 0.03 6.71 0.23 0.11 1.62 0.82 0.35
AGC198507 7.28 0.1 0.08 6.27 0.25 0.09 1.95 0.71 0.54
AGC198508 6.93 0.06 0.06 6.74 0.21 0.14 2.39 1.2 0.55
AGC198691 7.26 0.25 0.13 5.75 0.21 0.62 nan nan nan
AGC200232 7.35 0.03 0.03 7.65 0.26 0.19 4.51 1.91 1.9
AGC205590 6.97 0.07 0.07 7.08 0.36 0.04 3.2 2.39 0.17
AGC223231 7.2 0.03 0.03 6.81 0.24 0.05 2.77 1.16 1.07
AGC223254 7.05 0.02 0.02 6.84 0.15 0.09 2.41 1.11 0.54
AGC229053 7.45 0.03 0.03 7.39 0.29 0.21 2.19 0.74 0.83
AGC229379 6.7 0.06 0.06 6.42 0.2 0.14 0.44 0.35 0.19
AGC238890 6.37 0.05 0.05 7.12 0.19 0.07 0.57 0.3 0.17
AGC731448 7.35 0.04 0.04 7.33 0.26 0.15 4.13 1.49 1.31
AGC731921 7.59 0.03 0.03 7.66 0.32 0.06 5.07 2.46 0.41
AGC739005 7.31 0.03 0.03 7.11 0.26 0.06 3.23 1.96 1.19
AGC740112 7.04 0.06 0.05 7.6 0.34 0.1 0.57 0.56 0.27
AGC742601 7.01 0.04 0.04 6.46 0.22 0.05 0.71 0.45 0.19
AGC747826 7.22 0.03 0.03 7.44 0.35 0.11 2.01 1.39 0.28
