Name            & Z_gal(O/H) & Zunchi & Zunclo & Z_PAH(MPAH/Mgas) & ZPAHunchi & ZPAHunclo & Z_dust(Mdust/Mgas) & Zdustunchi & Zdustunclo & t_SF(Myr) & n_H(cm^-3, HIIreg) & f+(cationicPAHfrac) & Lburst(L_sun) & Lpdr(L_sun)
I Zw 18         & 0.023 & 0.005 & 0.006 & ≤2.7e-7 & & & 3.4e-5 & 1.3e-5 & 1.3e-5 & 160 & 70 & ... & 1.6e7 & 8.3e6 
SBS 0335-052    & 0.030 & 0.006 & 0.008 & ≤2.1e-8 & & & 1.5e-5 & 1.1e-5 & 1.1e-5 & 110 & 2.0e4 & ... & 1.6e9 & 8.6e8 
VII Zw 403      & 0.072 & 0.015 & 0.019 & 8.6e-7  & 6.9e-7 & 11.5e-7 & 9.3e-5 & 3.6e-5 & 3.6e-5 & 650 & 30 & 1.0 & 3.4e7 & 2.6e6 
Mrk 153         & 0.093 & 0.019 & 0.024 & ≤7.7e-7 &        &       & 1.1e-4 & 0.4e-4 & 0.4e-4 & 190 & 110 & 0.0 & 5.1e8 & 3.6e8 
Haro 11         & 0.12 & 0.02 & 0.03    & 1.1e-4 & 0.6e-4 & 0.9e-4 & 1.6e-2 & 0.6e-2 & 0.6e-2 & 680 & 1.0e3 & 0.7 & 1.6e11 & 9.2e10 
NGC 1140        & 0.15 & 0.03 & 0.04    & 9.5e-6 & 7.2e-6 & 11.9e-6 & 5.8e-4 & 2.6e-4 & 2.6e-4 & 1610 & 30 & 0.4 & 8.2e9 & 1.8e9 
UM 448          & 0.15 & 0.03 & 0.04    & 7.7e-6 & 4.8e-6 & 7.0e-6 & 8.6e-4 & 3.2e-4 & 3.2e-4 & 450 & 100 & 1.0 & 4.3e10 & 2.4e10 
Tol 89          & 0.15 & 0.03 & 0.04    & 1.3e-5 & 1.1e-5 & 1.9e-5 & 2.3e-3 & 1.2e-3 & 1.2e-3 & 470 & 20 & 0.3 & 1.2e9 & 4.6e8 
Mrk 930         & 0.17 & 0.03 & 0.04    & 2.8e-6 & 1.9e-6 & 2.9e-6 & 6.1e-4 & 2.4e-4 & 2.4e-4 & 1360 & 70 & ... & 1.3e10 & 7.2e9 
II Zw 40        & 0.18 & 0.04 & 0.05    & 1.8e-6 & 1.5e-6 & 2.5e-6 & 7.9e-4 & 3.4e-4 & 3.4e-4 & 1330 & 150 & 1.0 & 2.8e9 & 6.4e8 
NGC 5253        & 0.21 & 0.04 & 0.06    & ≤2.6e-5 &       &        & 2.3e-3 & 0.9e-3 & 0.9e-3 & 1520 & 320 & ... & 1.1e9 & 5.0e8 
NGC 1569        & 0.23 & 0.05 & 0.06    & 7.0e-6 & 5.4e-6 & 9.1e-6 & 4.0e-4 & 1.8e-4 & 1.8e-4 & 1280 & 80 & 0.0 & 6.3e8 & 2.2e8 
Mrk 33          & 0.37 & 0.08 & 0.10    & 4.2e-4 & 2.9e-4 & 4.6e-4 & 4.2e-3 & 2.1e-3 & 2.1e-3 & 5110 & 130 & 0.6 & 4.8e9 & 2.2e9 
NGC 7714        & 0.47 & 0.10 & 0.12    & 2.3e-4 & 1.3e-4 & 1.9e-4 & 3.4e-3 & 1.0e-3 & 1.0e-3 & 3100 & 60 & 0.6 & 4.3e10 & 9.4e9 
M 51            & 0.74 & 0.15 & 0.19    & 1.2e-3 & 0.8e-3 & 1.3e-3 & 2.7e-2 & 1.4e-2 & 1.4e-2 & 2570 & 10 & 0.5 & 2.2e10 & 3.1e10 
IC 342          & 1.0 & 0.2 & 0.3       & 5.8e-5 & 3.7e-5 & 5.5e-5 & 8.3e-4 & 3.7e-4 & 3.7e-4 & 4610 & 10 & 0.5 & 6.2e9 & 1.2e10 
NGC 891         & 1.2 & 0.2 & 0.3       & 2.6e-4 & 1.7e-4 & 2.5e-4 & 3.2e-3 & 1.4e-3 & 1.4e-3 & 3690 & 10 & 0.6 & 1.9e10 & 1.7e10 
He 2-10         & 1.2 & 0.2 & 0.3       & 9.0e-6 & 5.6e-6 & 8.1e-6 & 3.8e-4 & 1.7e-4 & 1.7e-4 & 1240 & 40 & 1.0 & 5.1e9 & 8.4e8 
NGC 3256        & 1.2 & 0.2 & 0.3       & 8.2e-4 & 5.3e-4 & 7.9e-4 & 7.5e-3 & 3.2e-3 & 3.2e-3 & 6740 & 90 & 0.6 & 3.7e11 & 1.5e11 
NGC 1068        & 1.4 & 0.3 & 0.4       & 1.8e-4 & 1.1e-4 & 1.7e-4 & 7.0e-3 & 2.1e-3 & 2.1e-3 & 3710 & 1.0e4 & 0.2 & 2.0e11 & 1.1e11 
NGC 253         & 1.4 & 0.3 & 0.4       & 7.6e-4 & 5.3e-4 & 8.2e-4 & 1.2e-2 & 0.6e-2 & 0.6e-2 & 14000 & 100 & 0.7 & 2.7e10 & 1.9e10 
M 82            & 1.5 & 0.3 & 0.4       & 4.9e-4 & 2.8e-4 & 3.9e-4 & 2.9e-3 & 1.0e-3 & 1.0e-3 & 9040 & 530 & 0.7 & 3.8e10 & 2.4e10 
NGC 1097        & 1.6 & 0.3 & 0.4       & 3.5e-4 & 2.4e-4 & 3.6e-4 & 6.6e-3 & 3.3e-3 & 3.3e-3 & 6060 & 50 & 0.5 & 5.7e9 & 2.1e10 
NGC 6946        & 1.9 & 0.4 & 0.5       & 5.2e-4 & 3.2e-4 & 4.7e-4 & 6.2e-3 & 2.6e-3 & 2.6e-3 & 5210 & 20 & 0.5 & 8.4e9 & 1.3e10 
NGC 1808        & 2.0 & 0.4 & 0.5       & 8.9e-4 & 6.7e-4 & 11.0e-4 & 4.4e-3 & 2.7e-3 & 2.7e-3 & 6040 & 30 & 0.6 & 2.8e10 & 1.2e10 
NGC 520         & 2.0 & 1.0 & 1.0       & 2.5e-4 & 1.5e-4 & 2.2e-4 & 3.3e-3 & 1.3e-3 & 1.3e-3 & 13900 & 50 & 1.0 & 5.8e10 & 2.8e10 
NGC 1399        & 2.0 & 1.0 & 1.0       & ≤9.3e-3 &       &        & ≤4.1e-2 &      &         & 14000 & 300 & ... & 2.4e7 & 3.2e8 
NGC 4945        & 2.0 & 1.0 & 1.0       & 8.3e-5 & 5.3e-5 & 7.9e-5 & 2.8e-3 & 1.3e-3 & 1.3e-3 & 4660 & 10 & 1.0 & 2.7e10 & 1.4e10 
Circinus        & 2.0 & 1.0 & 1.0       & 7.3e-5 & 4.4e-5 & 6.4e-5 & 9.4e-4 & 3.8e-4 & 3.8e-4 & 14000 & 1.1e3 & 0.5 & 7.3e9 & 1.1e10 
NGC 6240        & 2.0 & 1.0 & 1.0       & 2.3e-4 & 1.5e-4 & 2.2e-4 & 5.0e-3 & 2.0e-3 & 2.0e-3 & 12940 & 100 & 0.8 & 4.5e11 & 2.3e11 
