#ID 12+log(O/H)_PG16 12+log(O/H)_PG16_errdown 12+log(O/H)_PG16_errup md/mg md/mhi
ESO097-013 8.303000000000601 0.05000000000001492 0.04300000000001525 -3.459593958228809 -2.597892643435462
ESO149-001 -99.0 -99.0 -99.0 -3.5695320411268074 -3.372843172032833
ESO149-013 -99.0 -99.0 -99.0 -4.4304404814659595 -4.260106826128047
ESO157-047 -99.0 -99.0 -99.0 -3.7894101805065374 -3.6006118369049425
ESO157-049 8.431000000000644 0.010000000000001563 0.009000000000003894 -2.698099926891976 -2.4203581903707225
ESO209-009 -99.0 -99.0 -99.0 -2.660629190714063 -2.3766171670880194
ESO240-004 -99.0 -99.0 -99.0 -2.810392586376455 -2.6365113437963177
ESO351-030 -99.0 -99.0 -99.0 -6.121494152344485 -5.996614624412053
ESO358-015 -99.0 -99.0 -99.0 -3.7428197571959854 -3.5257696489179917
ESO358-016 -99.0 -99.0 -99.0 -2.485441170895918 -2.258421687128027
ESO358-051 8.264000000000589 0.009000000000003894 0.008000000000002672 -2.7807290309288692 -2.4687402298525325
ESO358-054 8.129000000000545 0.010000000000005116 0.012000000000004007 -2.8464849884692973 -2.6339620419226275
ESO358-060 7.46389172 0.30981296010596043 0.18967029346905073 -4.333528465385202 -4.195293226643598
ESO358-063 -99.0 -99.0 -99.0 -2.5279747904272853 -2.2011127065341993
ESO373-008 -99.0 -99.0 -99.0 -2.556430351586118 -2.3075191103491277
ESO407-018 -99.0 -99.0 -99.0 -4.272497023292641 -4.06430415991185
ESO410-012 -99.0 -99.0 -99.0 -4.020458270920676 -3.872343279412839
ESO410-018 -99.0 -99.0 -99.0 -3.063826853242755 -2.905113339610994
ESO411-013 -99.0 -99.0 -99.0 -2.945261549843623 -2.699127826055263
ESO411-016 -99.0 -99.0 -99.0 -2.954441568512094 -2.7355626279688545
ESO411-026 -99.0 -99.0 -99.0 -3.338940973643036 -3.142624594911827
ESO471-006 7.63119645 0.131088388237756 0.12305255944165319 -5.114818669960131 -4.968882502682741
ESO493-016 -99.0 -99.0 -99.0 -2.4358432613932157 -2.179543477339332
ESO495-021 8.445015223722214 0.013000000000003453 0.012000000000004007 -2.7448980696343104 -2.4596567724902165
ESO549-035 -99.0 -99.0 -99.0 -2.80233424710292 -2.6088854287420316
ESO560-004 -99.0 -99.0 -99.0 -2.560287969186068 -1.9929684674501045
ESO603-031 -99.0 -99.0 -99.0 -2.2085344761262427 -1.8611564381491834
IC0010 8.042000000000515 0.14300000000004776 0.13800000000004609 -3.2099331847352763 -2.8604265717820274
IC0342 8.554000000000686 0.08400000000002805 0.08000000000002672 -2.9162322007690578 -2.676050068264034
IC0610 8.522000000000675 0.02300000000000857 0.02300000000000857 -2.3760398289244793 -1.6951105464020022
IC0691 8.309000000000605 0.06600000000002382 0.06600000000002026 -3.1771849066715125 -2.929903898458817
IC0755 8.11600000000054 0.0350000000000108 0.03600000000001202 -3.3147205619149487 -3.1222067796801314
IC0797 8.452000000000652 0.025000000000009237 0.026000000000008683 -2.5519005163072164 -2.2237813993882556
IC0800 8.346000000000616 0.06400000000002137 0.06400000000002137 -2.5857590670365704 -2.0338910685151212
IC0902 8.431000000000644 0.06600000000002026 0.0650000000000226 -2.379983039153284 -2.0385626494473614
IC1613 7.907579222258426 0.07200000000002404 0.07300000000002349 -3.331473219567119 -3.143919859636594
