#Galaxy,T_K,T_unchi,T_unclo,beta_obs,beta_unchi,beta_unclo,Mdust_Msun,Mdust_unchi,Mdust_unclo,Metallicity
NGC0337,25,3,3,1.7,0.46,0.39,6000000,7000000,2600000,8.18
NGC0584,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,8.43
NGC0628,19,2,2,2.19,0.54,0.31,20000000,19000000,5000000,8.35
NGC0855,25,3,3,1.41,0.36,0.37,170000,150000,90000,8.29
NGC0925,23,3,3,1.1,0.45,0.41,2600000,2700000,1200000,8.25
NGC1097,22,3,2,1.98,0.46,0.36,43000000,40000000,18000000,8.47
NGC1266,26,4,2,2.31,0.18,0.42,11000000,4000000,5000000,8.29
NGC1291,20,2,2,1.7,0.42,0.41,5200000,4400000,2200000,8.52
NGC1316,20,1,0.2,2.5,0,0.18,14000000,1000000,2000000,8.77
NGC1377,34,8,4,1.79,0.35,0.43,700000,510000,350000,8.29
NGC1404,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,8.54
IC0342,20,3,1,2.17,0.34,0.46,30000000,16000000,17000000,8.49
NGC1482,24,4,1,2.36,0.14,0.49,30000000,9000000,16000000,8.11
NGC1512,25,3,3,0.98,0.46,0.35,1800000,1800000,800000,8.56
NGC2146,24,2,1,2.5,0,0.37,73000000,12000000,23000000,8.68
HoII,25,9,3,1.88,0.55,0.89,32000,56000,29000,7.72
DDO053,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.6
NGC2798,26,4,2,2.24,0.28,0.4,13000000,8000000,6000000,8.34
NGC2841,17,2,1,2.33,0.19,0.57,66000000,22000000,37000000,8.54
NGC2915,34,10,6,0.73,0.41,0.41,4500,4000,2000,7.94
HoI,39,7,8,0,0.68,0,700,1850,310,7.61
NGC2976,21,3,2,1.99,0.31,0.46,1100000,700000,600000,8.36
NGC3049,32,6,4,0.82,0.39,0.36,430000,390000,240000,8.53
NGC3077,26,4,3,1.62,0.43,0.41,310000,310000,150000,
M81dwB,27,10,7,0.82,1.09,0.79,1400,6900,900,7.84
NGC3190,18,2,1,2.5,0.01,0.52,27000000,4000000,1000000,8.49
NGC3184,19,1,3,2.18,0.51,0.36,27000000,26000000,7000000,8.51
NGC3198,21,2,2,1.58,0.44,0.39,9100000,10200000,4300000,8.34
IC2574,27,3,3,0.78,0.38,0.3,63000,57000,25000,7.85
NGC3265,28,5,3,1.68,0.38,0.43,620000,550000,360000,8.27
NGC3351,21,3,2,2.05,0.43,0.44,9800000,7900000,5300000,8.6
NGC3521,20,2,1,2.2,0.32,0.33,69000000,39000000,27000000,8.39
NGC3621,21,3,2,1.93,0.45,0.47,11000000,11000000,6000000,8.27
NGC3627,20,1,0.3,2.5,0.02,0.22,57000000,3000000,13000000,8.34
NGC3773,23,3,3,1.92,0.42,0.38,380000,430000,160000,8.43
NGC3938,20,2,2,2.05,0.48,0.38,31000000,28000000,14000000,8.42
NGC4236,26,5,4,0.79,0.46,0.48,160000,190000,80000,8.17
NGC4254,20,2,0.5,2.39,0.09,0.43,76000000,13000000,31000000,8.45
NGC4321,19,2,1,2.48,0.09,0.43,110000000,20000000,40000000,8.5
NGC4536,24,4,3,1.74,0.49,0.37,11000000,12000000,5000000,8.21
NGC4559,24,4,3,1.4,0.42,0.44,1900000,2000000,1000000,8.29
NGC4569,20,2,1,2.35,0.29,0.37,13000000,6000000,5000000,8.58
NGC4579,18,2,1,2.46,0.08,0.49,48000000,10000000,21000000,8.54
NGC4594,19,1,3,1.97,0.58,0.36,9500000,11800000,2800000,8.54
NGC4625,21,3,2,1.76,0.52,0.39,730000,1030000,350000,8.35
NGC4631,24,3,3,1.83,0.43,0.42,16000000,17000000,7000000,8.12
NGC4725,18,3,1,2.06,0.51,0.56,32000000,30000000,19000000,8.35
NGC4736,25,4,3,1.87,0.43,0.41,2900000,2800000,1500000,8.31
DDO154,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.54
NGC4826,23,3,2,2.24,0.32,0.37,4200000,2400000,1800000,8.54
DDO165,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.63
NGC5055,19,2,1,2.32,0.27,0.42,62000000,29000000,24000000,8.4
NGC5398,34,7,6,0.58,0.38,0.36,31000,31000,16000,8.35
NGC5408,30,6,5,1.67,0.55,0.44,21000,28000,11000,7.81
NGC5457,21,2,3,1.76,0.52,0.37,26000000,30000000,11000000,8.68
NGC5474,23,3,2,1.16,0.45,0.41,320000,370000,170000,8.31
NGC5713,22,3,1,2.42,0.06,0.46,35000000,7000000,16000000,8.24
NGC5866,21,2,1,2.5,0,0.41,11000000,2000000,4000000,8.47
NGC6946,20,2,1,2.34,0.18,0.42,70000000,17000000,33000000,8.4
NGC7331,20,2,1,2.19,0.37,0.38,96000000,55000000,45000000,8.34
NGC7793,23,3,2,1.5,0.44,0.4,1600000,1600000,700000,8.31
