# StellarMass   phi   phi_err 
9.1 -2.00215704298649 0.0193022859120546
9.3 -2.0312658330024 0.019960119601395
9.5 -2.11517906381771 0.0219846600590511
9.7 -2.27621134704329 0.0264628062012482
9.9 -2.34244908430105 0.028559773898877
10.1 -2.42791008392982 0.0315126745831627
10.3 -2.47717986275021 0.0333518672982535
10.5 -2.51924939572958 0.0350070021007002
10.7 -2.55820072701077 0.0366126012969106
10.9 -2.65715310950225 0.0410304969931109
11.1 -2.88811412752426 0.0535287727572189
11.3 -3.29106046808221 0.0851256530758749
11.5 -4.10872025974952 0.218217890235992
11.7 -4.95381829976378 0.577350269189626
11.9 -5.43093955448344 1
