#  StellarMass   phi   phi_err 
7.5 -1.12273441942948 0.103695169473043
7.7 -0.85568892107587 0.0762492851663023
7.9 -1.1516981153648 0.107211253483779
8.1 -1.3922473636474 0.14142135623731
8.3 -1.47843351126368 0.156173761888606
8.5 -1.55973845094116 0.171498585142509
8.7 -1.83594486288011 0.235702260395516
8.9 -1.97727401567658 0.277350098112615
9.1 -1.97727401567658 0.277350098112615
9.3 -2.24611932796916 0.377964473009227
9.5 -2.3922473636474 0.447213595499958
9.7 -2.31306611759978 0.408248290463863
9.9 -2.61409611326376 0.577350269189626
10.1 -2.3922473636474 0.447213595499958
10.3 -2.79018737231944 0.707106781186548
10.5 -2.61409611326376 0.577350269189626
10.7 -3.09121736798342 1
10.9 -3.09121736798342 1
