# Data points scanned in from Pakmor+2022, figure 2
# Halo mass M_200 [Msun]   Stellar mass formation efficiency M_* (<30kpc) / M_200 * (Omega_b / Omega_m)
202540067665.02075  0.016341562690796285
304718444630.75104  0.029989667642500356
368256626704.8536  0.03884653318095713
451637166353.94415  0.04696369585296736
530103755607.5996  0.055083206788045735
678918118628.5226  0.06910938209371131
820423169270.4098  0.07870516774425848
976876918901.836  0.0897795763733425
1163250078386.9673  0.10011506489033609
1489805620802.9675  0.11414124019600166
2022555288642.168  0.13075050487655962
3182117101717.7  0.13589868027615573
5089630891368.718  0.12220361006308997
6162210432293.165  0.11221801274324089
7571089541549.101  0.10186217261299055
9864665810745.217  0.08965590118509009
12853518492392.172  0.07708016970114434
19678977814909.94  0.06154014747092068
31472098437911.996  0.048953457425990526
51823827652031.67  0.0371041219844388
75869352488776.94  0.030433489362368282
123062670887412.67  0.0230184573477151
214743069788015.16  0.016707891729417446
358563275202662.25  0.012246974654413934
548274929249823.8  0.009638054385772643
802348551263213.5  0.007031482380199461
1123603017000820.6  0.005535638805829912
