# Halo and stellar masses from DeMaio et al. (2020) (2018MNRAS.474.3009D).
# Stellar mass and cosmology corrections were not needed. 
# Halo masses were converted from an M_500 to M_200 definition by assuming
# an NFW profile and concentration of c=5, which leads to a conversion 
# factor of 1.29.
# Stellar masses were measured in 10, 50 and 100 kpc apertures.
# log10(M_200)    log10(M_BCG_10kpc)    log10(M_BCG_50kpc)    log10(M_BCG_100kpc)
14.147      11.280      12.024      11.930      
14.169      11.274      12.000      11.888      
14.145      11.381      12.008      11.796      
14.333      11.486      12.154      11.984      
14.520      11.356      12.095      11.996      
14.544      11.288      12.036      11.945      
14.546      11.265      12.013      11.922      
14.525      11.358      11.998      11.800      
14.687      11.371      12.140      12.070      
14.727      11.434      12.129      11.986      
14.716      11.387      12.093      11.960      
14.881      11.323      12.086      12.010      
14.673      11.533      12.021      12.108      
14.474      11.559      11.918      11.961      
13.923      11.348      11.692      11.739      
14.420      11.494      11.899      11.948      
14.959      11.644      12.205      12.264      
14.549      11.509      11.911      12.023      
14.666      11.305      11.852      11.984      
14.013      11.407      11.768      11.836      
13.888      11.408      11.761      11.833      
13.629      11.384      11.705      11.765      
13.800      11.117      11.512      11.574      
13.666      11.446      11.766      11.810      
13.629      11.188      11.516      11.547      
14.530      11.547      11.954      12.055      
14.464      11.548      12.093      12.179      
14.607      11.525      11.982      12.070      
14.845      11.446      11.912      12.035      
14.643      11.550      12.001      12.122      
15.082      11.462      11.946      12.080      
14.430      11.484      11.875      11.939      
