# Table 2 from Cochrane et al. (2023)
# (1) Redshift_m (2) Redshift_p (3) Nsources (4) log10 L*star,150MHz/(W Hz) (5) Err on column 4
# (6) log10 \phi*/Mpc-3 log 1/L (7) Err on column 6 (8) SFRD / Msun / yr / Mpc**3 (9) Err on column 8
0.1 0.4 8510 22.52 0.02 -2.58 0.03 0.023 0.001
0.4 0.6 6908 22.78 0.03 -2.59 0.06 0.040 0.004
0.6 0.8 6788 22.97 0.03 -2.60 0.07 0.059 0.006
0.8 1.0 5214 23.28 0.04 -2.95 0.07 0.053 0.005
1.0 1.3 6957 23.46 0.03 -2.99 0.07 0.069 0.007
1.3 1.6 2897 23.72 0.07 -2.88 0.15 0.079 0.018
1.6 2.0 6573 23.94 0.03 -3.37 0.06 0.111 0.017
2.0 2.5 4516 24.08 0.03 -3.45 0.06 0.096 0.010
2.5 3.3 4101 24.28 0.04 -3.65 0.08 0.092 0.011
3.3 4.6 1951 23.79 0.04 -4.50 0.07 0.039 0.004
