# Measured stellar velocity dispersion - black hole mass relation from "
# Saglia et al. (2016) (2016ApJ...818...47S). The black hole masses were "
# determined from dynamical measurements, while the line-of-sight velocity "
# dispersions are weighted (by surface brightness) averages within "
# projected apertures equal to the half-light radius."
# log10(sigma)    log10_err(sigma)    log10(M_BH)    log10_err(M_BH)
2.021      0.084      6.633      0.048      
1.898      0.017      6.057      0.105      
2.459      0.021      9.573      0.061      
2.520      0.007      9.394      0.079      
2.508      0.022      9.114      0.073      
1.886      0.017      6.389      0.193      
2.228      0.021      8.155      0.161      
2.393      0.021      8.938      0.053      
2.320      0.021      8.217      0.210      
2.312      0.021      7.616      0.055      
2.179      0.020      6.924      0.245      
2.170      0.071      7.850      0.051      
1.944      0.015      7.878      0.343      
2.498      0.004      8.945      0.306      
2.097      0.031      6.935      0.036      
2.161      0.021      7.161      0.367      
2.061      0.019      7.647      0.240      
2.276      0.021      7.610      0.088      
2.220      0.042      7.033      0.049      
2.356      0.021      8.230      0.091      
2.155      0.021      7.813      0.129      
2.164      0.021      6.398      0.049      
2.362      0.021      8.953      0.095      
2.124      0.039      7.322      0.232      
2.312      0.021      8.378      0.114      
2.161      0.021      8.250      0.253      
2.314      0.021      8.619      0.113      
2.164      0.021      7.033      0.214      
2.170      0.029      7.196      0.330      
2.312      0.021      8.400      0.071      
2.328      0.022      8.517      0.127      
2.360      0.021      8.137      0.157      
2.260      0.021      8.667      0.098      
2.431      0.044      9.959      0.139      
2.439      0.011      8.927      0.052      
2.255      0.022      8.255      0.123      
2.193      0.022      7.813      0.076      
2.061      0.038      7.577      0.030      
2.498      0.021      8.723      0.097      
2.384      0.022      8.990      0.155      
2.352      0.021      8.656      0.188      
2.471      0.021      8.966      0.046      
1.996      0.044      6.864      0.043      
2.223      0.021      7.843      0.086      
2.279      0.021      7.954      0.239      
2.511      0.027      9.789      0.031      
2.346      0.022      8.654      0.124      
2.401      0.021      8.699      0.051      
2.210      0.021      7.945      0.124      
2.380      0.022      8.823      0.045      
2.134      0.019      7.885      0.260      
2.352      0.021      8.602      0.085      
2.580      0.022      9.674      0.099      
2.248      0.020      8.305      0.112      
2.079      0.022      6.831      0.123      
2.017      0.013      6.193      0.131      
2.540      0.006      10.320     0.437      
2.346      0.022      8.932      0.268      
2.176      0.020      7.755      0.084      
2.262      0.021      8.436      0.126      
2.362      0.021      8.851      0.058      
2.378      0.020      8.688      0.157      
2.375      0.022      9.041      0.058      
2.502      0.003      9.573      0.167      
2.462      0.021      8.788      0.155      
2.199      0.041      7.489      0.047      
2.199      0.072      7.004      0.048      
2.425      0.021      8.598      0.230      
1.826      0.019      6.954      0.302      
2.193      0.053      7.741      0.205      
2.410      0.044      9.127      0.181      
2.029      0.049      6.985      0.085      
2.310      0.007      8.602      0.060      
2.363      0.004      8.176      0.254      
2.467      0.010      9.161      0.076      
2.225      0.009      8.763      0.062      
2.369      0.007      8.033      0.083      
2.442      0.003      9.653      0.079      
2.436      0.016      9.568      0.067      
2.477      0.017      9.556      0.072      
2.122      0.003      6.875      0.076      
1.949      0.002      6.778      0.051      
2.088      0.002      6.929      0.048      
2.347      0.020      9.449      0.115      
2.154      0.005      6.845      0.074      
2.482      0.011      9.398      0.037      
2.160      0.006      7.100      0.147      
2.172      0.026      8.602      0.024      
2.197      0.008      7.301      0.080      
2.258      0.010      8.246      0.052      
2.558      0.016      9.146      0.056      
2.321      0.007      8.021      0.078      
2.523      0.002      9.672      0.158      
2.565      0.011      9.860      0.144      
2.522      0.015      9.519      0.058      
2.590      0.003      9.301      0.084      
2.469      0.007      9.398      0.108
